url,nat,cap
/titanic-victim/johan-hansen-nysveen.html,Norwegian,Oslo
/titanic-victim/karl-siegwart-andreas-olsen.html,Norwegian,Oslo
/titanic-victim/olaf-pedersen.html,Norwegian,Oslo
/titanic-victim/knud-paust-rommetvedt.html,Norwegian,Oslo
/titanic-victim/simon-sivertsen-saether.html,Norwegian,Oslo
/titanic-victim/peter-andreas-lauritz-andersen-soholt.html,Norwegian,Oslo
/titanic-survivor/artur-karl-olsen.html,Norwegian,Oslo
/titanic-survivor/karl-albert-midtsjo.html,Norwegian,Oslo
/titanic-victim/sigurd-hansen-moen.html,Norwegian,Oslo
/titanic-victim/henry-margido-olsen.html,Norwegian,Oslo
/titanic-victim/thor-anderson-olsvigen.html,Norwegian,Oslo
/titanic-survivor/anna-kristine-salkjelsvik.html,Norwegian,Oslo
/titanic-victim/jakob-birnbaum.html,Polish,Warsaw
/titanic-survivor/rosa-pinsky.html,Polish,Warsaw
/titanic-survivor/leah-aks.html,Polish,Warsaw
/titanic-victim/harry-corn.html,Polish,Warsaw
/titanic-survivor/berk-pickard.html,Polish,Warsaw
/titanic-survivor/sarah-roth.html,Polish,Warsaw
/titanic-victim/woolf-spector.html,Polish,Warsaw
/titanic-victim/jose-joaquim-de-brito.html,Portuguese,Lisbon
/titanic-victim/domingos-fernandeo-coelho.html,Portuguese,Lisbon
/titanic-victim/manuel-goncalves-estanislau.html,Portuguese,Lisbon
/titanic-victim/jose-neto-jardim.html,Portuguese,Lisbon
/titanic-victim/samuel-abelson.html,Russian,Moscow
/titanic-survivor/abelson.html,Russian,Moscow
/titanic-victim/samuel-greenberg.html,Russian,Moscow
/titanic-victim/sinai-kantor.html,Russian,Moscow
/titanic-survivor/miriam-kantor.html,Russian,Moscow
/titanic-victim/israel-nesson.html,Russian,Moscow
/titanic-victim/moses-aaron-troupiansky.html,Russian,Moscow
/titanic-victim/jacob-cook.html,Russian,Moscow
/titanic-survivor/jennie-dropkin.html,Russian,Moscow
/titanic-victim/simon-kutscher-lithman.html,Russian,Moscow
/titanic-victim/simon-maisner.html,Russian,Moscow
/titanic-victim/uscher-pulner.html,Russian,Moscow
/titanic-survivor/beila-moor.html,Russian,Moscow
/titanic-survivor/meier-moor.html,Russian,Moscow
/titanic-victim/aaron-willer.html,Russian,Moscow
/titanic-victim/alexander-cairns.html,Scottish,Edinburgh
/titanic-victim/roderick-chisholm.html,Scottish,Edinburgh
/titanic-victim/john-weir.html,Scottish,Edinburgh
/titanic-victim/john-harper.html,Scottish,Edinburgh
/titanic-survivor/nina-harper.html,Scottish,Edinburgh
/titanic-victim/jock-hume.html,Scottish,Edinburgh
/titanic-survivor/jessie-leitch.html,Scottish,Edinburgh
/titanic-victim/robert-douglas-norman.html,Scottish,Edinburgh
/titanic-survivor/jessie-trout.html,Scottish,Edinburgh
/titanic-survivor/bertha-watt.html,Scottish,Edinburgh
/titanic-survivor/bessie-watt.html,Scottish,Edinburgh
/titanic-victim/margaret-ann-watson-ford.html,Scottish,Edinburgh
/titanic-victim/andrew-emslie-johnston.html,Scottish,Edinburgh
/titanic-victim/eliza-johnston.html,Scottish,Edinburgh
/titanic-victim/james-kelly.html,Scottish,Edinburgh
/titanic-victim/george-william-mackay.html,Scottish,Edinburgh
/titanic-victim/alexander-morrison-thompson.html,Scottish,Edinburgh
/titanic-survivor/alden-gates-caldwell.html,Siamese,Bangkok
/titanic-survivor/franz-karun.html,Slovenian,Ljubljana
/titanic-victim/janko-vovk.html,Slovenian,Ljubljana
/titanic-survivor/manca-karun.html,Slovenian,Ljubljana
/titanic-victim/jakob-pasic.html,Slovenian,Ljubljana
/titanic-victim/charles-henry-chapman.html,South African,Pretoria
/titanic-victim/sidney-samuel-jacobsohn.html,South African,Pretoria
/titanic-victim/thomas-william-solomon-brown.html,South African,Pretoria
/titanic-survivor/elizabeth-catherine-brown.html,South African,Pretoria
/titanic-survivor/fermina-oliva-y-ocana.html,Spanish,Madrid
/titanic-victim/servando-jose-florentino-ovies-y-rodriguez.html,Spanish,Madrid
/titanic-victim/victor-penasco.html,Spanish,Madrid
/titanic-survivor/maria-penasco.html,Spanish,Madrid
/titanic-survivor/florentina-duran-y-more.html,Spanish,Madrid
/titanic-survivor/asuncion-duran-y-more.html,Spanish,Madrid
/titanic-survivor/julian-padron-manent.html,Spanish,Madrid
/titanic-survivor/emilio-pallas-y-castello.html,Spanish,Madrid
/titanic-survivor/encarnacion-reynaldo.html,Spanish,Madrid
/titanic-victim/carl-robert-carlsson.html,Swedish,Stockholm
/titanic-survivor/mauritz-hakan-bjornstrom-steffansson.html,Swedish,Stockholm
/titanic-victim/frans-olof-carlsson.html,Swedish,Stockholm
/titanic-victim/erik-lindeberg-lind.html,Swedish,Stockholm
/titanic-survivor/sigrid-lindstrom.html,Swedish,Stockholm
/titanic-victim/kurt-arnold-gottfrid-bryhl.html,Swedish,Stockholm
